"Order Summary","Order Summary"
"Cart","Cart"
"(%1 Item)","(%1 Item)"
"(%1 Items)","(%1 Items)"
"Apply Discount Code","Apply Discount Code"
"Discount code","Discount code"
"Enter coupon code","Enter coupon code"
"Apply","Apply"
"Subtotal","Subtotal"
"Shipping","Shipping"
"VAT","VAT"
"Discount","Discount"
"Grand Total","Grand Total"
"Terms and Conditions","Terms and Conditions"
"Ready to pay?","Ready to pay?"
"Continue securely with PayPal to complete your order.","Continue securely with PayPal to complete your order."
"Please accept the terms before continuing to payment.","Please accept the terms before continuing to payment."
"Protected checkout. Your payment details are handled securely by PayPal.","Protected checkout. Your payment details are handled securely by PayPal."
"PayPal","PayPal"
"View %1 more item","View %1 more item"
"View %1 more items","View %1 more items"
"Show fewer items","Show fewer items"
"Qty: %1","Qty: %1"
"SKU: %1","SKU: %1"
"No image","No image"
"Contact Information","Contact Information"
"E-mail address","E-mail address"
"Enter e-mail address","Enter e-mail address"
"Please enter a valid email address.","Please enter a valid email address."
"You can create an account after checkout.","You can create an account after checkout."
"Saving…","Saving…"
"Saved","Saved"
"Check email","Check email"
"Shipping Address","Shipping Address"
"Please review","Please review"
"Please complete required fields: %1.","Please complete required fields: %1."
"First name","First name"
"Enter first name","Enter first name"
"Last name","Last name"
"Enter last name","Enter last name"
"Company","Company"
"Street address","Street address"
"Enter street address 1","Enter street address 1"
"Address line 2","Address line 2"
"Enter street address 2","Enter street address 2"
"Country","Country"
"County / Region","County / Region"
"City","City"
"Postcode","Postcode"
"Phone number","Phone number"
"Enter phone number","Enter phone number"
"Delivery Options","Delivery Options"
"Enter your address to see available delivery options.","Enter your address to see available delivery options."
"No delivery options are currently available for this address.","No delivery options are currently available for this address."
"Payment Method","Payment Method"
"Fast checkout with buyer protection and secure payment.","Fast checkout with buyer protection and secure payment."
"Available","Available"
"Check Terms and Conditions by Default","Check Terms and Conditions by Default"
"Please select","Please select"
"Remove","Remove"
"Applying...","Applying..."
"Removing...","Removing..."
"Applied code:","Applied code:"
"Please enter a coupon code.","Please enter a coupon code."
"Unable to apply coupon.","Unable to apply coupon."
"Unable to remove coupon.","Unable to remove coupon."
"Coupon code was removed.","Coupon code was removed."
"Coupon code \"%1\" was applied.","Coupon code \"%1\" was applied."
