"%1 filter","%1 filter"
"%1 Gallery Navigation","%1 Gallery Navigation"
"%1 Gallery Thumbnails","%1 Gallery Thumbnails"
"%1 Gallery","%1 Gallery"
"%1 products available in filter","%1 products available in filter"
"1 product available in filter","1 product available in filter"
"Apply %1 Filter","Apply %1 Filter"
"Apply Filter","Apply Filter"
"Category","Category"
"Checkout","Checkout"
"Choose your language","Choose your language"
"Click to play video","Click to play video"
"Close Notification","Close Notification"
"Compare Products","Compare Products"
"Continue Shopping","Continue Shopping"
"Customer Service","Customer Service"
"Details","Details"
"Disable Magnifier","Disable Magnifier"
"Enable Magnifier","Enable Magnifier"
"Follow us on %1","Follow us on %1"
"Follow us","Follow us"
"Footer Menu","Footer Menu"
"Fullscreen Gallery","Fullscreen Gallery"
"Language","Language"
"Legal Menu","Legal Menu"
"Maximum %1","Maximum %1"
"Minimal %1","Minimal %1"
"Minimum Search query length is %1","Minimum Search query length is %1"
"My Account","My Account"
"Need help?","Need help?"
"Open fullscreen","Open fullscreen"
"Order confirmed","Order confirmed"
"Order updates","Order updates"
"Our Company","Our Company"
"Payment Providers","Payment Providers"
"Privacy Policy","Privacy Policy"
"Product ""%1""","Product ""%1"""
"Product filters","Product filters"
"Reach out to our customer service at %1","Reach out to our customer service at %1"
"Remove all filters","Remove all filters"
"Remove filter for %1: %2","Remove filter for %1: %2"
"Sale","Sale"
"Scroll back to the top of the page","Scroll back to the top of the page"
"Search entire store here...","Search entire store here..."
"Search","Search"
"See all %1","See all %1"
"Shop","Shop"
"Sku","Sku"
"Terms & Conditions","Terms & Conditions"
"The product was added to your cart.","The product was added to your cart."
"There was a problem adding your item to the cart.","There was a problem adding your item to the cart."
"View less","View less"
"View more","View more"
"We’re here to be of service.","We’re here to be of service."
"We’re on it!","We’re on it!"
"You will receive order and shipping updates via email.","You will receive order and shipping updates via email."
"Your order number is:","Your order number is:"
"Items %1 to %2 of %3","Items %1 to %2 of %3"
